user_id,session_time_iso,session_id,ingestion_timestamp_iso,esp32_ms_A,esp32_ms_B,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,flexion_deg,pronation_deg
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 17:28:23+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T17:28:23Z,2026-01-21 17:28:38.686823+00:00,12440,8162,1.164,-0.423,-10.05,-0.238,0.126,-0.023,1.354,-0.916,-10.17,0.117,-0.192,-0.011,0.009184388795691556,0.005836869673708481
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 17:28:23+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T17:28:23Z,2026-01-21 17:28:38.687317+00:00,12440,8162,1.164,-0.423,-10.05,-0.238,0.126,-0.023,1.354,-0.916,-10.17,0.117,-0.192,-0.011,0.01753361717752486,0.013099051034167537
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 17:28:23+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T17:28:23Z,2026-01-21 17:28:38.687357+00:00,12440,8162,1.164,-0.423,-10.05,-0.238,0.126,-0.023,1.354,-0.916,-10.17,0.117,-0.192,-0.011,0.025036285171868067,0.021766359168983784
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 17:28:23+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T17:28:23Z,2026-01-21 17:28:38.687377+00:00,12440,8174,1.164,-0.423,-10.05,-0.238,0.126,-0.023,1.198,-1.095,-10.171,0.064,-0.176,0.007,0.04529161174284572,0.007350104648151403
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 17:28:23+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T17:28:23Z,2026-01-21 17:28:38.687393+00:00,12440,8174,1.164,-0.423,-10.05,-0.238,0.126,-0.023,1.198,-1.095,-10.171,0.064,-0.176,0.007,0.0642094580010729,-0.004952328349765006
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 17:28:23+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T17:28:23Z,2026-01-21 17:28:38.687406+00:00,12453,8174,1.075,-0.283,-10.082,-0.241,0.115,-0.026,1.198,-1.095,-10.171,0.064,-0.176,0.007,0.08368141924726202,-0.011628751971002676
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 17:28:23+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T17:28:23Z,2026-01-21 17:28:38.687419+00:00,12453,8187,1.075,-0.283,-10.082,-0.241,0.115,-0.026,1.283,-1.021,-10.173,-0.017,-0.176,-0.018,0.08570536860952446,-0.03977927971894393
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 17:28:23+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T17:28:23Z,2026-01-21 17:28:38.687434+00:00,12453,8187,1.075,-0.283,-10.082,-0.241,0.115,-0.026,1.283,-1.021,-10.173,-0.017,-0.176,-0.018,0.08736921314131325,-0.06709383904914623
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 17:28:23+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T17:28:23Z,2026-01-21 17:28:38.687469+00:00,12478,8199,1.171,-0.341,-10.033,-0.215,0.135,-0.031,1.354,-0.905,-10.172,-0.011,-0.189,-0.02,0.09156503566507984,-0.11556706447643038
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 17:28:23+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T17:28:23Z,2026-01-21 17:28:38.687447+00:00,12478,8187,1.171,-0.341,-10.033,-0.215,0.135,-0.031,1.283,-1.021,-10.173,-0.017,-0.176,-0.018,0.09672221270845963,-0.16168992662562298
