user_id,session_time_iso,session_id,ingestion_timestamp_iso,esp32_ms_A,esp32_ms_B,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,flexion_deg,pronation_deg
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.741691+00:00,6838,2116,-0.703,-8.957,-3.165,-0.256,0.124,-0.068,0.21,-9.603,-1.494,0.039,-0.211,-0.006,0.04892024271887056,-0.05255744490151154
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742225+00:00,6838,2116,-0.703,-8.957,-3.165,-0.256,0.124,-0.068,0.21,-9.603,-1.494,0.039,-0.211,-0.006,0.0952996695953915,-0.10133636448143091
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742259+00:00,6851,2116,-0.652,-8.939,-3.101,-0.21,0.095,-0.013,0.21,-9.603,-1.494,0.039,-0.211,-0.006,0.09811017842192367,-0.12700507113034457
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742276+00:00,6851,2128,-0.652,-8.939,-3.101,-0.21,0.095,-0.013,0.265,-9.815,-1.631,0.021,-0.137,0.007,0.1102789635526418,-0.13621917355870009
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742290+00:00,6851,2128,-0.652,-8.939,-3.101,-0.21,0.095,-0.013,0.265,-9.815,-1.631,0.021,-0.137,0.007,0.12162801370806456,-0.1444192764781975
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742303+00:00,6870,2128,-0.63,-8.946,-3.127,-0.232,0.117,-0.041,0.265,-9.815,-1.631,0.021,-0.137,0.007,0.15166361841320905,-0.16266872323072368
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742315+00:00,6870,2141,-0.63,-8.946,-3.127,-0.232,0.117,-0.041,0.309,-9.442,-1.553,0.059,-0.205,0.013,0.18318463414145192,-0.19167638620338603
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742329+00:00,6870,2141,-0.63,-8.946,-3.127,-0.232,0.117,-0.041,0.309,-9.442,-1.553,0.059,-0.205,0.013,0.21207832018130757,-0.2170951062701384
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742363+00:00,6882,2153,-0.642,-8.953,-3.168,-0.187,0.106,0.012,0.272,-9.684,-1.519,0.112,-0.2,0.037,0.22016320540073603,-0.22071906552714826
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742341+00:00,6882,2141,-0.642,-8.953,-3.168,-0.187,0.106,0.012,0.309,-9.442,-1.553,0.059,-0.205,0.013,0.21305785369345953,-0.24009035933351708
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742353+00:00,6882,2153,-0.642,-8.953,-3.168,-0.187,0.106,0.012,0.272,-9.684,-1.519,0.112,-0.2,0.037,0.21892213249844253,-0.24103015123286148
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742401+00:00,6895,2153,-0.685,-8.842,-3.087,-0.16,0.102,-0.006,0.272,-9.684,-1.519,0.112,-0.2,0.037,0.23468032890352822,-0.2543328603384966
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742418+00:00,6895,2166,-0.685,-8.842,-3.087,-0.16,0.102,-0.006,0.22,-9.674,-1.489,0.068,-0.189,0.031,0.24611371681853375,-0.2781268856207365
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742430+00:00,6895,2166,-0.685,-8.842,-3.087,-0.16,0.102,-0.006,0.22,-9.674,-1.489,0.068,-0.189,0.031,0.25569966849443915,-0.2994712913285101
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742463+00:00,6907,2166,-0.678,-9.042,-3.097,-0.205,0.086,-0.011,0.22,-9.674,-1.489,0.068,-0.189,0.031,0.2633141613649805,-0.29274861805863917
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742442+00:00,6907,2166,-0.678,-9.042,-3.097,-0.205,0.086,-0.011,0.22,-9.674,-1.489,0.068,-0.189,0.031,0.26852978626915763,-0.2831288054966127
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742452+00:00,6907,2166,-0.678,-9.042,-3.097,-0.205,0.086,-0.011,0.22,-9.674,-1.489,0.068,-0.189,0.031,0.27128287293567976,-0.27055783797900174
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742502+00:00,6920,2184,-0.734,-8.833,-3.034,-0.183,0.098,0.01,0.257,-9.727,-1.543,0.043,-0.174,0.045,0.2711850459101265,-0.27568779700574814
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742479+00:00,6920,2166,-0.734,-8.833,-3.034,-0.183,0.098,0.01,0.22,-9.674,-1.489,0.068,-0.189,0.031,0.2620818992084619,-0.2721893093693479
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742491+00:00,6920,2184,-0.734,-8.833,-3.034,-0.183,0.098,0.01,0.257,-9.727,-1.543,0.043,-0.174,0.045,0.2581442609153576,-0.27272071728044706
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742512+00:00,6932,2184,-0.727,-8.901,-3.097,-0.221,0.104,-0.069,0.257,-9.727,-1.543,0.043,-0.174,0.045,0.36503683934097614,-0.30598553097656156
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742572+00:00,6932,2209,-0.727,-8.901,-3.097,-0.221,0.104,-0.069,0.114,-9.677,-1.459,0.125,-0.18,0.022,0.4195403271083288,-0.21571336497633778
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742588+00:00,6932,2209,-0.727,-8.901,-3.097,-0.221,0.104,-0.069,0.114,-9.677,-1.459,0.125,-0.18,0.022,0.46099330095659957,-0.10074288192829026
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742599+00:00,6938,2209,-0.719,-9.005,-3.055,-0.237,0.098,-0.078,0.114,-9.677,-1.459,0.125,-0.18,0.022,0.514880494321452,0.0006713116077035345
zWwE7FlIf2dix6c0SzmtphrSib23,2026-01-21 19:27:03+00:00,zWwE7FlIf2dix6c0SzmtphrSib23_2026-01-21T19:27:03Z,2026-01-21 19:27:19.742642+00:00,6945,2234,-0.667,-9.019,-3.12,-0.229,0.09,-0.055,0.273,-9.613,-1.526,-0.025,-0.183,0.026,0.5699217391452343,0.0038081143983924497
